Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.154,2.269,-1.38556,2.437,0.1648,-0.1062,0.0708,0.1746,0.2026,0.9753,0.9473,0.221731,2.849,4.937,0.593781
1.238,2.314,-1.35022,2.422,0.2612,0.09766,-0.01587,0.127,0.1428,0.9851,0.9802,0.234099,2.891,4.951,0.619664
1.219,2.384,-1.23831,2.487,0.271,0.2783,0.1965,0.009766,0.2734,1.1,0.9448,0.560071,3.024,5.32,0.707127
1.241,2.393,-1.30731,2.467,0.1562,0.2588,0.249,0.1648,0.3186,1.038,1.057,0.281802,2.942,5.005,0.693158
1.249,2.316,-1.47727,2.357,0.1685,0.1624,0.1501,0.26,0.2222,0.9717,0.9436,0.438163,2.74,5.182,0.646783
1.178,2.45,-1.42763,2.339,0.2039,0.08301,0.1318,0.0647,0.1404,0.9802,0.9949,0.809187,2.799,5.602,0.662289
1.201,2.474,-1.24,2.509,0.1892,0.127,0.3528,0.2185,0.2307,1.05,1.01,0.862191,3.022,5.662,0.7487
1.287,2.205,-1.36284,2.545,0.1831,0.1318,0.2393,0.06714,0.3333,0.9631,0.9448,0.875442,2.876,5.677,0.701012
1.216,2.196,-1.34854,2.573,0.2747,0.1355,0.08301,0.06592,0.2368,0.9448,0.7043,0.19788,2.893,4.91,0.606614
1.151,2.411,-1.44109,2.521,0.1733,-0.1758,0.1917,0.1172,0.2405,1.077,1.051,0.428445,2.783,5.171,0.645438
1.129,2.266,-1.50588,2.61,0.3198,0.09399,0.08545,0.1489,0.199,0.9802,0.9912,0.503534,2.706,5.256,0.651766
1.216,2.288,-1.36789,2.572,0.2661,0.1807,0.2576,0.3113,0.2539,0.9692,1.085,0.556537,2.87,5.316,0.715704
1.184,2.556,-1.33844,2.506,0.2429,0.1782,0.2124,0.1575,0.2075,1.027,1.08,0.0282686,2.905,4.718,0.670111
1.156,2.253,-1.21728,2.611,0.2258,0.2454,0.1379,0.1465,0.332,0.8899,0.9753,0.814488,3.049,5.608,0.714168
1.178,2.397,-1.22906,2.538,0.09399,0.2966,0.1514,0.1343,0.2026,0.9583,0.8057,0.765901,3.035,5.553,0.691061
1.145,2.333,-1.2787,2.614,0.188,0.1416,0.1868,0.09644,0.2246,0.9143,1.005,0.867491,2.976,5.668,0.703128
1.293,2.214,-1.32245,2.708,0.1404,0.2197,0.1428,0.1709,0.116,1.011,1.072,0.124558,2.924,4.827,0.657492
1.229,2.206,-1.44193,2.417,0.2344,0.08423,0.1013,0.07812,0.09155,1.01,1.055,0.781802,2.782,5.571,0.653872
1.178,2.406,-1.19119,2.687,0.2527,-0.09155,0.1782,0.2612,0.1709,1.222,1.116,0.650177,3.08,5.422,0.736619
1.201,2.244,-1.40323,2.588,0.1257,0.03418,0.003662,0.2234,0.2942,0.9839,0.9595,0.816254,2.828,5.61,0.672547
1.288,2.246,-1.40744,2.693,0.2417,0.08179,0.1611,0.1416,0.1453,0.8984,0.9094,0.234982,2.823,4.952,0.636153
1.289,2.371,-1.40407,2.773,0.2185,-0.08667,0.2039,0.04639,0.2234,0.929,1.072,0.378975,2.827,5.115,0.667869
1.273,2.264,-1.44277,2.708,0.1074,0.1453,0.2173,0.1721,0.2759,0.8667,0.957,0.0715548,2.781,4.767,0.634623
1.245,2.18,-1.38051,2.844,0.2087,0.2075,0.3394,0.1514,0.3198,1.013,0.8691,0.904594,2.855,5.71,0.741832
1.304,2.354,-1.45708,2.815,0.1733,0.1538,0.07446,-0.009766,0.1416,0.9778,0.8643,0.396643,2.764,5.135,0.649005
1.266,2.294,-1.38135,2.786,0.3088,0.05981,0.2246,0.06714,0.2954,0.9802,0.9778,0.459364,2.854,5.206,0.694814
1.263,2.195,-1.20466,2.957,0.2234,0.2148,0.09888,0.1733,0.155,0.9595,1.066,0.737633,3.064,5.521,0.736571
1.26,2.338,-1.42006,2.762,0.2124,0.1099,0.1892,0.05127,0.321,1.005,0.8508,0.090106,2.808,4.788,0.647468
1.548,2.192,-1.32077,2.717,0.3259,0.1599,0.1501,0.1453,0.2148,1.014,0.8228,0.715548,2.926,5.496,0.723715
2.385,2.198,-1.15838,3.724,0.7214,0.1965,0.3149,0.2441,0.531,0.9387,0.9705,0.511484,3.119,5.265,0.964767
3.059,2.053,-0.735992,5.443,1.001,0.8081,0.5054,0.3552,0.719,0.9375,0.8899,0.418728,3.621,5.16,1.28782
3.533,1.93,0.302307,5.397,1.2,1.376,0.6482,0.3552,0.99,0.9082,1.019,0.572438,4.855,5.334,1.51928
3.655,1.741,0.548839,5.406,1.262,1.685,0.7312,0.3625,1.224,1.132,1.067,0.765901,5.148,5.553,1.6317
3.846,1.649,0.404959,5.604,1.299,1.918,0.6897,0.4883,1.155,1.445,1.472,0.315371,4.977,5.043,1.69053
3.931,1.638,0.648967,5.641,1.313,2.229,0.7825,0.293,1.29,1.77,1.692,0.462014,5.267,5.209,1.80754
3.958,1.611,0.560619,5.698,1.453,2.034,0.6702,0.4639,1.37,2.307,1.951,0.0556537,5.162,4.749,1.84436
4.181,1.429,0.77013,5.656,1.442,2.198,0.7739,0.6201,1.45,2.952,1.982,0.349823,5.411,5.082,1.98366
3.851,1.362,0.912328,5.881,1.469,2.28,0.8313,0.5957,1.404,3.74,2.194,0.420495,5.58,5.162,2.0784
